id,first_name,last_name,age,email,gender,marital_status,number_of_children,education_level,job,salary,savings,housing,current_loans,monthly_expenses
24,Valera,Kilalea,93,vkilalean@nba.com,Male,divorced,2,Bachelor's Degree,Employed,162252.82,150307.9,Yes,Yes,21420.53
25,Basile,Strathearn,84,bstrathearno@paypal.com,Male,divorced,5,PhD,Retired,97306.83,,No,Yes,23043.02
26,Harcourt,Mackerness,54,hmackernessp@g.co,Male,single,2,PhD,Retired,58955.99,161182.06,Yes,Yes,14381.4
27,Stefania,Iacovides,72,siacovidesq@list-manage.com,Male,widowed,1,Master's Degree,Unemployed,167491.97,61793.91,Yes,Yes,20694.02
28,Innis,Kubiak,25,ikubiakr@illinois.edu,Female,divorced,3,PhD,Unemployed,210567.66,144118.3,No,No,11907.76
29,Aubrey,Coode,71,acoodes@surveymonkey.com,Female,single,4,Bachelor's Degree,Retired,49550.0,51555.24,No,No,18103.12
30,Sayre,Tabourin,115,stabourint@blogspot.com,Male,single,3,High School Diploma,Employed,166994.3,67757.74,No,Yes,13717.88
31,Audra,Clarke-Williams,112,aclarkewilliamsu@163.com,Male,divorced,4,Bachelor's Degree,Unemployed,188667.99,135558.36,No,Yes,17428.83
32,Kakalina,Rozet,114,krozetv@csmonitor.com,Male,married,4,PhD,Unemployed,55408.08,43336.22,No,No,4711.23
33,Linea,Sargison,39,lsargisonw@state.tx.us,Male,single,2,High School Diploma,Employed,88840.42,20199.62,Yes,No,9830.94
34,Barnebas,Blaker,21,bblakerx@mtv.com,Female,widowed,5,Master's Degree,Retired,117179.36,209150.68,Yes,Yes,11242.51
35,Laurella,McGauhy,45,lmcgauhyy@hatena.ne.jp,Female,married,0,High School Diploma,Employed,226002.03,103242.9,No,No,2369.58
36,Meriel,Pannett,111,mpannettz@cdbaby.com,Female,married,3,Master's Degree,Retired,188695.78,245386.42,No,Yes,7063.19
37,Cate,Synke,19,csynke10@topsy.com,Female,divorced,5,High School Diploma,Retired,180765.18,240021.53,No,Yes,11153.56
38,Jamal,Aloshechkin,64,jaloshechkin11@dailymail.co.uk,Female,divorced,4,High School Diploma,Employed,32387.04,196275.18,Yes,No,3491.55
39,Cynthia,Hiddy,64,chiddy12@utexas.edu,Male,widowed,3,Master's Degree,Employed,165034.91,90834.87,No,Yes,3419.43
40,Ogden,Whacket,34,owhacket13@smugmug.com,Male,married,5,PhD,Retired,239612.41,,No,No,9583.73
41,Desiri,Filyaev,30,dfilyaev14@eventbrite.com,Female,divorced,5,High School Diploma,Retired,225094.23,,Yes,No,7658.58
42,Keefe,MacAirt,89,kmacairt15@theatlantic.com,Male,married,4,Master's Degree,Employed,180025.88,189389.66,Yes,Yes,17267.15
43,Annabel,Kleinert,59,akleinert16@alexa.com,Female,single,0,Master's Degree,Retired,29551.17,148282.33,Yes,Yes,13657.28
44,Denna,Cowans,38,dcowans17@oaic.gov.au,Female,widowed,3,Bachelor's Degree,Retired,87505.64,204210.1,No,No,12196.88
45,Raina,Whitcomb,53,rwhitcomb18@pcworld.com,Female,single,3,Bachelor's Degree,Employed,149667.65,31806.73,Yes,No,18733.02
46,Joya,Wethered,54,jwethered19@bravesites.com,Female,divorced,4,PhD,Retired,173645.16,,Yes,No,8731.07
47,Dennis,Tisun,68,dtisun1a@ocn.ne.jp,Female,divorced,0,Bachelor's Degree,Retired,60602.17,242038.24,Yes,Yes,20669.53
48,Doralia,Waterdrinker,56,dwaterdrinker1b@java.com,Female,single,2,Master's Degree,Employed,40249.46,29412.23,No,No,6646.15
49,Legra,Seamon,60,lseamon1c@imdb.com,Female,divorced,1,Bachelor's Degree,Unemployed,153907.69,25106.95,No,Yes,7629.2
50,Candida,Simkovitz,60,csimkovitz1d@cornell.edu,Male,divorced,3,PhD,Unemployed,127781.41,,Yes,No,24042.18
51,Griffy,Crowdy,91,gcrowdy1e@google.it,Male,widowed,5,PhD,Employed,139867.08,,Yes,Yes,2241.8
52,Candie,Dryburgh,118,cdryburgh1f@timesonline.co.uk,Male,single,0,Bachelor's Degree,Unemployed,248621.81,191615.38,Yes,No,4053.77
53,Hedvige,Robbie,82,hrobbie1g@irs.gov,Male,married,2,High School Diploma,Retired,148913.9,189931.82,No,Yes,11854.34
54,Staford,Eatttok,117,seatttok1h@opera.com,Female,widowed,1,PhD,Employed,205112.71,,Yes,No,12694.34
55,Tymothy,Rash,98,trash1i@mtv.com,Male,single,5,Master's Degree,Unemployed,186985.95,100343.42,Yes,Yes,11144.33
56,Millard,Brandoni,37,mbrandoni1j@theguardian.com,Male,married,3,PhD,Employed,177033.67,140594.14,Yes,No,11622.6
57,Humfried,Christiensen,85,hchristiensen1k@i2i.jp,Female,married,3,Master's Degree,Retired,38157.78,75796.28,Yes,Yes,22489.11
58,Uriah,Van der Merwe,102,uvandermerwe1l@csmonitor.com,Male,married,4,Master's Degree,Employed,64367.92,55338.12,Yes,Yes,5046.21
59,Jessa,Twentyman,48,jtwentyman1m@github.com,Female,divorced,4,Master's Degree,Employed,17254.91,9822.62,No,No,5416.23
60,Corabella,Ridgeway,110,cridgeway1n@ucla.edu,Male,single,5,PhD,Retired,175798.33,,No,Yes,17758.06
61,Kylen,Lewnden,52,klewnden1o@umich.edu,Male,married,5,Master's Degree,Retired,76527.63,41050.2,No,Yes,9480.79
62,Ailina,Guilayn,81,aguilayn1p@blogger.com,Female,married,1,Master's Degree,Unemployed,220587.88,135690.23,No,Yes,2806.44
63,Elsi,Poncet,19,eponcet1q@marketwatch.com,Male,married,1,High School Diploma,Unemployed,159970.59,100030.09,No,No,516.24
64,Brandyn,Tommasuzzi,43,btommasuzzi1r@techcrunch.com,Female,single,2,Bachelor's Degree,Unemployed,60500.82,,Yes,No,11464.46
65,Renie,Miskimmon,107,rmiskimmon1s@phoca.cz,Male,widowed,0,PhD,Employed,223535.86,37634.82,Yes,No,14556.55
66,Bernette,Placstone,76,bplacstone1t@webeden.co.uk,Male,widowed,3,PhD,Employed,237974.5,,No,Yes,12628.01
67,Ramsey,Loudwell,48,rloudwell1u@merriam-webster.com,Female,widowed,0,PhD,Unemployed,221684.07,,Yes,Yes,14338.06
68,Caril,Ewbanke,90,cewbanke1v@360.cn,Female,single,1,PhD,Unemployed,48145.12,,Yes,Yes,17779.68
69,Sarita,Beagan,39,sbeagan1w@qq.com,Female,widowed,0,High School Diploma,Retired,102278.71,,No,No,3372.37
70,Freemon,De Zuani,45,fdezuani1x@ezinearticles.com,Female,married,5,High School Diploma,Unemployed,184523.21,85415.26,Yes,No,21584.14
71,Gayelord,McKennan,78,gmckennan1y@ow.ly,Female,widowed,5,Master's Degree,Unemployed,77426.47,,No,No,22620.84
72,Brit,Gadesby,45,bgadesby1z@weibo.com,Female,single,4,PhD,Retired,238946.26,92583.9,Yes,No,10790.08
73,Agosto,Bean,109,abean20@zdnet.com,Female,single,5,High School Diploma,Unemployed,40998.37,,No,No,5578.38
74,Whittaker,Yuill,36,wyuill21@theguardian.com,Female,married,2,High School Diploma,Retired,121157.37,227758.19,No,No,10649.99
75,Samantha,Baudic,32,sbaudic22@friendfeed.com,Female,single,3,PhD,Retired,177081.21,72639.51,No,No,1856.02
76,Meredith,Demogeot,113,mdemogeot23@ehow.com,Female,widowed,3,High School Diploma,Employed,242746.46,,Yes,No,4192.49
77,Francisca,Rathke,113,frathke24@imdb.com,Female,divorced,4,PhD,Employed,190879.75,182859.11,Yes,No,11959.39
78,Sophronia,Lockner,108,slockner25@tamu.edu,Male,widowed,0,PhD,Retired,17137.29,124728.23,Yes,No,24944.45
79,Ann-marie,Pesterfield,102,apesterfield26@prweb.com,Female,widowed,3,Bachelor's Degree,Retired,79161.0,158504.13,No,No,2541.8
80,Tricia,Mityukov,92,tmityukov27@reuters.com,Male,widowed,3,Master's Degree,Retired,87656.26,140538.07,No,No,1716.69
81,Ali,Piercy,42,apiercy28@constantcontact.com,Male,divorced,4,PhD,Employed,190433.79,232728.17,No,No,612.68
82,Adrian,Dyster,110,adyster29@trellian.com,Female,married,2,Master's Degree,Employed,163877.81,62038.25,Yes,No,21847.41
83,Eddie,Cain,83,ecain2a@vk.com,Male,married,1,PhD,Employed,64280.87,,Yes,Yes,12731.8
84,Rahal,Waszczyk,63,rwaszczyk2b@photobucket.com,Female,single,0,Bachelor's Degree,Unemployed,15044.11,227507.71,Yes,No,2269.41
85,Georgina,Drew-Clifton,77,gdrewclifton2c@va.gov,Female,married,0,PhD,Retired,92929.03,,No,No,16942.06
86,Brittni,Knightly,55,bknightly2d@gmpg.org,Male,married,4,Bachelor's Degree,Employed,199158.56,103194.53,Yes,Yes,9186.99
87,Elva,Fyers,21,efyers2e@imdb.com,Male,single,0,Bachelor's Degree,Retired,86287.92,243971.23,No,No,23300.26
88,Osbourn,Shillam,54,oshillam2f@va.gov,Male,divorced,2,PhD,Unemployed,201250.14,185027.37,Yes,No,11561.16
89,Velvet,Bedow,105,vbedow2g@vimeo.com,Male,married,4,High School Diploma,Retired,55792.99,220785.96,No,No,8529.39
90,Salim,Ollier,34,sollier2h@loc.gov,Male,single,2,High School Diploma,Retired,164820.33,,Yes,No,24684.57
91,Christan,Badder,20,cbadder2i@engadget.com,Male,single,1,Master's Degree,Retired,144334.26,91745.94,Yes,No,18811.18
92,Orella,Gatecliff,57,ogatecliff2j@arstechnica.com,Male,married,4,Bachelor's Degree,Unemployed,158972.91,103903.22,No,Yes,22140.82
93,Raff,Titcomb,23,rtitcomb2k@accuweather.com,Female,married,4,High School Diploma,Retired,232928.08,,No,Yes,7348.27
94,Pammi,Mathys,32,pmathys2l@ehow.com,Male,widowed,0,Bachelor's Degree,Unemployed,84746.08,,Yes,Yes,1887.76
95,Adrienne,McAw,76,amcaw2m@wufoo.com,Female,single,3,Master's Degree,Unemployed,102058.65,109960.24,No,No,18064.23
96,Linoel,Docharty,26,ldocharty2n@goo.gl,Female,married,2,High School Diploma,Retired,173836.91,40162.54,No,Yes,4856.09
97,Monique,Shadbolt,100,mshadbolt2o@mysql.com,Female,divorced,3,High School Diploma,Retired,36380.0,,No,Yes,18294.37
98,Brynna,Sambiedge,115,bsambiedge2p@networkadvertising.org,Female,married,1,Master's Degree,Retired,49237.2,,No,No,17145.37
99,Neddy,Gouck,38,ngouck2q@cdc.gov,Male,widowed,4,Bachelor's Degree,Employed,185579.04,12556.09,No,Yes,10919.78
100,Maggi,Orrum,65,morrum2r@instagram.com,Male,single,4,PhD,Unemployed,159985.34,134410.12,No,Yes,6431.46
101,Maddy,Guitt,21,mguitt2s@odnoklassniki.ru,Female,divorced,0,High School Diploma,Unemployed,87554.89,222672.92,No,No,1370.42
102,Jerome,Checkley,94,jcheckley2t@stumbleupon.com,Male,married,5,High School Diploma,Unemployed,141636.46,217332.03,No,No,6350.6
103,Hazel,Mawditt,43,hmawditt2u@canalblog.com,Female,divorced,2,Bachelor's Degree,Retired,68759.44,,Yes,Yes,5022.96
104,Nicolis,Aronstam,44,naronstam2v@cbslocal.com,Male,divorced,0,High School Diploma,Retired,207645.18,,Yes,Yes,4745.48
105,Victoria,Meadowcroft,27,vmeadowcroft2w@pen.io,Female,widowed,3,PhD,Employed,176045.52,110858.98,Yes,No,22094.15
106,Egor,Townshend,116,etownshend2x@businessweek.com,Male,divorced,1,PhD,Unemployed,223134.35,,No,Yes,14357.56
107,Korey,Ionnidis,64,kionnidis2y@unc.edu,Female,divorced,2,PhD,Employed,54501.5,203735.45,Yes,No,14752.42
108,Jed,Eckhard,98,jeckhard2z@moonfruit.com,Female,divorced,1,PhD,Unemployed,28298.52,57601.19,No,No,6013.69
109,Wright,Bremen,69,wbremen30@tuttocitta.it,Female,divorced,2,Master's Degree,Retired,59121.48,,Yes,No,11053.16
110,Flossie,How to preserve,41,fhowtopreserve31@tmall.com,Male,divorced,3,PhD,Employed,164665.44,245375.89,No,No,7400.85
111,Sarajane,Gook,118,sgook32@discovery.com,Female,divorced,1,PhD,Unemployed,213615.93,139420.5,Yes,Yes,4237.01
112,Benni,Thurske,109,bthurske33@php.net,Male,divorced,3,High School Diploma,Unemployed,140693.71,149154.33,Yes,Yes,77.51
113,Franny,Magson,24,fmagson34@domainmarket.com,Male,widowed,1,Bachelor's Degree,Unemployed,84452.88,4026.37,Yes,Yes,9118.13
114,Rosalinda,Perigoe,74,rperigoe35@gov.uk,Male,widowed,2,High School Diploma,Retired,224582.11,215684.31,Yes,Yes,10933.85
115,Curran,McAlinion,25,cmcalinion36@symantec.com,Female,widowed,4,Bachelor's Degree,Unemployed,169150.36,206183.8,No,Yes,1757.32
116,Bev,Goldthorpe,77,bgoldthorpe37@myspace.com,Female,divorced,4,Master's Degree,Unemployed,57490.37,109946.27,No,No,16329.12
117,Jacklyn,Smieton,96,jsmieton38@amazon.co.uk,Male,divorced,0,PhD,Employed,146780.21,158829.53,Yes,No,15506.64
118,Mattie,Hambridge,26,mhambridge39@webeden.co.uk,Female,divorced,0,Master's Degree,Employed,197265.19,163215.44,No,No,24915.83
119,Austin,Hills,49,ahills3a@disqus.com,Female,single,2,High School Diploma,Retired,125050.98,238707.82,Yes,No,21081.77
120,Alastair,Clarke,72,aclarke3b@independent.co.uk,Male,married,2,High School Diploma,Retired,151653.37,165804.19,No,No,4535.66
121,Archibald,Seyler,58,aseyler3c@techcrunch.com,Male,divorced,5,PhD,Retired,81429.62,136356.16,No,Yes,3806.09
122,Rosalynd,Rillatt,32,rrillatt3d@nba.com,Male,divorced,2,High School Diploma,Employed,131771.63,102206.07,No,No,11382.47
123,Ettie,Goodbanne,42,egoodbanne3e@bloglines.com,Male,divorced,2,Bachelor's Degree,Retired,73747.44,,No,Yes,13291.57
124,Pansie,Temprell,99,ptemprell3f@t.co,Female,widowed,5,Master's Degree,Unemployed,47387.5,97335.36,No,No,18494.27
125,Skippy,Sauvage,109,ssauvage3g@npr.org,Female,single,2,PhD,Unemployed,72303.47,219037.55,Yes,Yes,19038.12
126,Natalya,Price,120,nprice3h@vistaprint.com,Female,widowed,0,High School Diploma,Unemployed,163598.75,143535.4,Yes,No,1901.98
127,Ardella,Conant,92,aconant3i@bravesites.com,Male,widowed,3,PhD,Retired,246030.35,,No,Yes,10449.73
128,Fawnia,Upwood,69,fupwood3j@slashdot.org,Female,single,1,Master's Degree,Employed,28576.93,,No,No,21678.49
129,Nicolea,O' Timony,64,notimony3k@kickstarter.com,Male,married,0,Bachelor's Degree,Employed,149645.76,57337.39,Yes,No,13307.17
130,Gertrudis,Mattingson,19,gmattingson3l@exblog.jp,Male,single,1,Bachelor's Degree,Retired,109784.43,132101.0,No,Yes,4505.73
131,Kurt,Izhaky,37,kizhaky3m@washingtonpost.com,Male,divorced,5,High School Diploma,Retired,64065.0,230462.17,Yes,No,15556.14
132,Cy,Warman,65,cwarman3n@ebay.com,Female,single,5,Master's Degree,Employed,231078.55,64210.27,No,Yes,5595.62
133,Elicia,Rodgman,31,erodgman3o@springer.com,Female,married,0,PhD,Retired,118335.84,20090.82,Yes,No,8861.43
134,Pam,Rosewarne,39,prosewarne3p@indiatimes.com,Female,widowed,0,PhD,Employed,59339.64,13558.83,No,Yes,6275.69
135,Creighton,Shilton,40,cshilton3q@freewebs.com,Male,single,4,Master's Degree,Retired,95944.42,18726.46,Yes,Yes,18185.24
136,Alberto,Crummey,89,acrummey3r@usda.gov,Female,married,0,Master's Degree,Unemployed,36185.99,177871.17,Yes,Yes,14196.08
137,Rosaline,Prangle,65,rprangle3s@icio.us,Male,widowed,5,High School Diploma,Unemployed,179677.54,223212.92,Yes,Yes,13482.62
138,Starla,Kibard,115,skibard3t@cyberchimps.com,Male,divorced,5,PhD,Unemployed,236649.16,69043.66,Yes,No,11804.38
139,Dorita,Payle,101,dpayle3u@weibo.com,Female,married,0,High School Diploma,Employed,231450.21,90286.11,No,Yes,12710.19
140,Dunc,Raff,64,draff3v@cloudflare.com,Male,divorced,3,Bachelor's Degree,Employed,22485.9,97401.44,No,No,8187.03
141,Marion,Kynton,24,mkynton3w@java.com,Female,widowed,1,PhD,Retired,81204.07,175803.49,No,No,3275.46
142,Moises,Pounsett,55,mpounsett3x@slate.com,Male,married,4,PhD,Unemployed,94921.19,,No,No,10538.79
143,Sara,Blagbrough,106,sblagbrough3y@unc.edu,Male,divorced,1,High School Diploma,Unemployed,206326.81,223688.76,No,Yes,21943.21
144,Brewster,Willoughley,83,bwilloughley3z@wix.com,Male,single,1,Bachelor's Degree,Unemployed,62079.28,7692.13,No,Yes,384.12
145,Mellisent,Forshaw,73,mforshaw40@washingtonpost.com,Male,married,1,Bachelor's Degree,Unemployed,217533.36,,Yes,Yes,4364.65
146,Jenni,Grayne,44,jgrayne41@businessweek.com,Male,single,4,PhD,Unemployed,148932.14,85516.69,No,Yes,3146.11
147,Rees,Jackman,91,rjackman42@mediafire.com,Female,divorced,3,High School Diploma,Retired,61763.29,232199.13,Yes,Yes,21068.28
148,Pepito,Gallehawk,88,pgallehawk43@ucoz.com,Male,divorced,4,High School Diploma,Unemployed,32283.57,206061.6,No,Yes,6266.51
149,Maurita,Wetherell,69,mwetherell44@nyu.edu,Male,married,5,High School Diploma,Retired,117337.9,66746.48,Yes,No,133.1
150,Germaine,Kemwal,104,gkemwal45@statcounter.com,Female,widowed,1,Master's Degree,Unemployed,58089.62,,No,Yes,11480.37
151,Norry,Nollet,24,nnollet46@spiegel.de,Female,single,1,PhD,Retired,194098.33,60460.85,Yes,Yes,2233.84
152,Hank,Curtayne,113,hcurtayne47@bbb.org,Female,widowed,4,Master's Degree,Retired,129721.55,213134.43,Yes,No,8610.22
153,Jenifer,Hughes,24,jhughes48@addthis.com,Female,divorced,5,High School Diploma,Retired,233633.9,38635.81,No,Yes,8757.35
154,Kipper,Sheen,104,ksheen49@economist.com,Female,widowed,4,High School Diploma,Employed,101126.32,82806.29,No,No,1503.5
155,Basilio,Halladey,103,bhalladey4a@cnet.com,Female,married,1,PhD,Retired,31629.46,186611.17,No,Yes,1220.41
156,Prue,Iacomi,22,piacomi4b@artisteer.com,Female,married,1,Master's Degree,Unemployed,66481.72,,Yes,Yes,11607.47
157,Staci,Bruckshaw,39,sbruckshaw4c@qq.com,Male,widowed,5,Bachelor's Degree,Retired,29712.81,162804.17,Yes,No,21576.32
158,Avivah,O'Leahy,47,aoleahy4d@fema.gov,Male,single,2,Bachelor's Degree,Unemployed,126353.93,105926.38,Yes,Yes,5540.54
159,Kinsley,Gameson,99,kgameson4e@discuz.net,Male,married,2,PhD,Unemployed,239302.53,170566.16,No,No,205.44
160,Alanah,Smalles,32,asmalles4f@ucoz.com,Male,married,3,Master's Degree,Employed,172587.78,101375.09,No,Yes,3017.12
161,Rania,Eborn,36,reborn4g@gnu.org,Female,widowed,2,Bachelor's Degree,Employed,170769.41,55192.74,Yes,No,21708.89
162,Jaclyn,Anyene,87,janyene4h@gizmodo.com,Male,widowed,2,Bachelor's Degree,Unemployed,106087.3,163050.28,No,No,11691.93
163,Deb,Patesel,28,dpatesel4i@archive.org,Female,single,3,High School Diploma,Employed,154172.63,83451.49,No,No,6506.95
164,Tomaso,Crownshaw,18,tcrownshaw4j@ucoz.com,Female,married,3,PhD,Unemployed,248836.3,120338.44,No,Yes,10764.44
165,Romain,Hemstead,50,rhemstead4k@ftc.gov,Female,single,2,Master's Degree,Unemployed,28560.43,11862.36,No,Yes,6270.0
166,Morey,Feldstein,51,mfeldstein4l@plala.or.jp,Male,divorced,4,High School Diploma,Retired,88595.75,,Yes,Yes,19762.13
167,Jeniece,Jaycock,74,jjaycock4m@utexas.edu,Female,married,2,Master's Degree,Unemployed,76151.29,,Yes,Yes,13874.69
168,Shandee,Cherry Holme,18,scherryholme4n@flickr.com,Female,married,3,PhD,Employed,69206.69,174614.97,No,No,1063.36
169,Andree,Emmanuele,44,aemmanuele4o@clickbank.net,Male,single,1,High School Diploma,Retired,238184.19,189148.47,No,No,21043.63
170,Viva,Labitt,98,vlabitt4p@netvibes.com,Female,married,1,High School Diploma,Employed,32781.01,,No,Yes,3623.43
171,Lorrin,Morgan,88,lmorgan4q@e-recht24.de,Male,married,4,High School Diploma,Retired,155044.76,247890.31,Yes,No,21775.73
172,Amata,Aleksic,53,aaleksic4r@wsj.com,Female,single,2,High School Diploma,Unemployed,32891.42,239919.9,No,Yes,22299.7
173,Britney,Durran,39,bdurran4s@livejournal.com,Female,single,3,PhD,Retired,215488.88,242062.98,Yes,No,19809.47
174,Nicky,Waterhous,95,nwaterhous4t@wisc.edu,Male,widowed,1,PhD,Employed,161383.92,229917.71,Yes,Yes,510.57
175,Germana,Libbe,108,glibbe4u@paginegialle.it,Female,single,2,Master's Degree,Employed,68202.0,184197.8,No,Yes,23199.16
176,Rik,Babcock,77,rbabcock4v@dot.gov,Female,divorced,2,Bachelor's Degree,Employed,23512.49,,Yes,Yes,13940.18
177,Brunhilda,Treuge,101,btreuge4w@sitemeter.com,Female,divorced,3,Bachelor's Degree,Unemployed,131293.54,,No,Yes,21408.97
178,Lory,Tremethack,113,ltremethack4x@wikispaces.com,Male,married,3,High School Diploma,Unemployed,67788.63,224667.74,Yes,Yes,9354.98
179,Jobina,Dumbleton,45,jdumbleton4y@ftc.gov,Female,married,2,Bachelor's Degree,Employed,127698.27,213420.36,Yes,Yes,10219.27
180,Tressa,Malby,22,tmalby4z@geocities.com,Female,divorced,3,High School Diploma,Retired,177799.28,,Yes,No,12876.39
181,Nora,Elsmore,69,nelsmore50@discovery.com,Male,married,4,High School Diploma,Retired,84781.61,,No,No,16952.99
182,Angeli,Broadnicke,19,abroadnicke51@cisco.com,Female,widowed,4,Bachelor's Degree,Unemployed,65616.07,199428.2,Yes,Yes,558.98
183,Sebastiano,Bernardinelli,66,sbernardinelli52@elpais.com,Female,single,4,Bachelor's Degree,Employed,212199.65,219514.49,Yes,Yes,4530.46
184,Skip,Hamlet,44,shamlet53@a8.net,Male,divorced,3,PhD,Employed,203917.9,166136.03,Yes,Yes,5807.02
185,Yanaton,Trickett,46,ytrickett54@wiley.com,Female,married,1,PhD,Unemployed,204721.57,6940.23,No,Yes,12045.29
186,Zilvia,Gallymore,53,zgallymore55@typepad.com,Male,single,2,High School Diploma,Retired,128989.93,119122.26,No,Yes,11415.61
187,Trevor,Isaak,99,tisaak56@shop-pro.jp,Male,widowed,1,PhD,Employed,22828.59,116339.15,Yes,No,8579.37
188,Jacquenette,Barense,20,jbarense57@domainmarket.com,Male,single,3,High School Diploma,Retired,200631.59,75297.5,No,No,9449.23
189,Whitney,MacNeachtain,35,wmacneachtain58@reference.com,Female,divorced,0,Master's Degree,Retired,203547.29,,No,Yes,754.79
190,Tarra,Scottesmoor,80,tscottesmoor59@e-recht24.de,Female,single,4,PhD,Employed,52400.61,204848.83,Yes,Yes,12224.15
191,Torry,Ahrend,28,tahrend5a@dion.ne.jp,Female,widowed,2,High School Diploma,Employed,156113.42,172871.55,No,No,209.68
192,Forrester,Kirtley,29,fkirtley5b@constantcontact.com,Male,divorced,4,Bachelor's Degree,Employed,98980.3,23326.65,Yes,No,22342.69
193,Sharlene,Carbett,77,scarbett5c@dell.com,Male,divorced,4,High School Diploma,Retired,138768.4,229765.62,Yes,Yes,21840.88
194,Berget,Hancorn,77,bhancorn5d@webeden.co.uk,Male,single,0,Bachelor's Degree,Retired,89435.14,,Yes,Yes,13443.98
195,Cordi,Witherup,119,cwitherup5e@de.vu,Female,married,0,Master's Degree,Retired,27145.59,66003.68,Yes,No,7403.61
196,Adiana,Mathieu,67,amathieu5f@statcounter.com,Male,single,2,PhD,Employed,32466.7,11855.66,Yes,No,6914.88
197,Ringo,Danks,61,rdanks5g@phpbb.com,Female,widowed,5,PhD,Unemployed,231536.23,,No,Yes,19954.3
198,Aloysia,Conley,83,aconley5h@infoseek.co.jp,Male,single,3,PhD,Employed,240131.15,205159.67,No,Yes,11507.87
199,Nicolai,Todaro,24,ntodaro5i@comsenz.com,Female,widowed,5,Bachelor's Degree,Employed,169524.69,229392.72,Yes,Yes,22709.87
200,Monika,Rowlinson,48,mrowlinson5j@mapquest.com,Female,married,4,Master's Degree,Employed,166844.04,,Yes,No,5064.73
201,Jody,Dumberrill,27,jdumberrill5k@soup.io,Male,single,1,Bachelor's Degree,Retired,36513.83,,Yes,No,4461.62
202,Dale,Cicculini,53,dcicculini5l@miitbeian.gov.cn,Female,single,0,Master's Degree,Retired,249445.31,222234.95,No,No,11080.49
203,Wilburt,Pelling,75,wpelling5m@nymag.com,Female,divorced,5,Bachelor's Degree,Retired,31524.01,244167.03,Yes,Yes,19381.58
204,Shelli,Leng,49,sleng5n@about.com,Female,widowed,4,Bachelor's Degree,Employed,77285.99,91792.57,Yes,Yes,18733.92
